point,dateBegin,dateEnd,time,contact,phone,event,url
榴陽王三聖始祖南潭行館,2020-11-14,2020-11-15,14日13時至15日16時,郭先生,2725999,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7726460
榴陽王三聖始祖南潭行館,2020-12-20,2020-12-20,6時至12時,郭先生,2725999,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
興安宮,2020-07-04,2020-07-04,6時至23時,施先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7684930
天地堂,2020-07-25,2020-07-25,9時30分至12時30分,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
八甲代天府,2020-08-01,2020-08-01,6時至22時,吳先生,3303722,遶境(八甲里全境),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
八甲代天府,2020-08-02,2020-08-02,6時至22時,吳先生,3303722,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
八甲代天府,2020-09-05,2020-09-05,8時至22時,吳先生,3303722,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
八甲代天府,2021-08-27,2021-08-27,12時至18時,吳先生,3303722,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
歸邑五龍堂,2020-07-11,2020-07-11,12時至14時,劉先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
歸仁媽祖廳,2020-11-22,2020-11-22,6時至17時,林先生,,蜈蚣陣試行活動(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7728934
武當山上帝廟,2020-08-31,2020-08-31,13時至22時,陳先生,2781687,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
武當山上帝廟,2021-08-20,2021-08-20,13時30分至22時,鄭先生,2781687,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
武當山上帝廟,2021-11-25,2021-11-26,12時至22時,鄭先生,2781687,五朝祈安清醮大典,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7840523
武當山上帝廟,2021-12-04,2021-12-04,3時至20時,鄭先生,2781687,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7845271
仁壽宮,2020-09-02,2020-09-02,8時至22時,張先生,2306568,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
仁壽宮,2021-04-17,2021-04-17,8時至20時,張先生,2306568,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
仁壽宮,2021-08-23,2021-08-23,8時至22時,張先生,2306568,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
保西代天府,2020-09-07,2020-09-07,8時至22時,陳黃小姐,2713775,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
保西代天府,2021-01-16,2021-01-17,17時至22時,陳先生,,遶境(歸仁區大廟里全境),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
保西代天府,2021-08-27,2021-08-27,10時至18時,陳黃小姐,2713775,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
福德祠,2020-09-13,2020-09-13,8時至22時,徐先生,2304346,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
歸仁董家彌勒祖師,2021-01-23,2021-01-23,6時至22時,董先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7741987
清水宮,2021-01-16,2021-01-17,6時至18時,陳先生,2398495,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
清水宮,2021-02-17,2021-02-17,8時至22時,陳先生,2398495,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
大潭昭德宮,2021-02-17,2021-02-17,8時至22時,鄭先生,2782458,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
崁仔頭清水宮,2021-02-17,2021-02-17,8時至22時,陳先生,2301615,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
濟聖宮,2021-03-06,2021-03-06,14時至18時,陳小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7749566
穎川家廟,2021-05-01,2021-05-01,6時至18時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
武東葉家池府千歲,2021-04-23,2021-04-23,12時至24時,葉先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
武東葉家池府千歲,2021-04-24,2021-04-24,12時至24時,葉先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
歸南北極殿,2021-04-03,2021-04-03,6時至18時,戴先生,2394512,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
