point,dateBegin,dateEnd,time,contact,phone,event,url
西天宮,2020-11-08,2020-11-08,7時至22時,顏先生,7850825,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7726460
西天宮,2021-08-22,2021-08-22,7時至22時,顏先生,7850825,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
南鯤鯓代天府,2020-10-18,2020-10-18,7時至20時,陳先生,7863711,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
新吳保宮,2020-10-31,2020-10-31,7時至20時,陳先生,7863733,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7720404
吳福宮,2020-10-31,2020-10-31,7時至20時,陳先生,7863927,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7720404
吳福宮,2021-08-22,2021-08-22,7時至22時,陳先生,7863927,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
財團法人二重港仁安宮,2021-08-21,2021-08-21,7時至22時,侯先生,7862013,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
永隆宮,2021-08-21,2021-08-21,7時至22時,吳先生,7862364,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
城隍宮,2021-08-21,2021-08-21,7時至22時,曾先生,7850851,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
財團法人南鯤鯓代天府,2021-08-22,2021-08-22,7時至22時,陳先生,7863711,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
保安宮,2021-08-22,2021-08-22,7時至22時,洪先生,7863049,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
永安宮,2021-08-22,2021-08-22,7時至22時,李先生,78635953,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
南天宮,2021-08-22,2021-08-22,7時至22時,柯先生,7861010,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
龍佛宮,2021-08-22,2021-08-22,7時至22時,吳先生,7864620,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
金西宮,2021-08-22,2021-08-22,7時至22時,曾先生,7850851,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
聖天宮,2021-08-22,2021-08-22,7時至22時,林先生,7862033,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
慈濟宮,2021-08-22,2021-08-22,7時至22時,柯先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
興安宮,2021-08-22,2021-08-22,7時至22時,洪先生,7862649,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
泰安宮,2021-08-22,2021-08-22,7時至22時,尤先生,7850851,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
新寶宮,2021-08-22,2021-08-22,7時至22時,蔡先生,7864562,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
三安宮,2021-08-22,2021-08-22,7時至22時,林先生,7862868,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
田隆宮,2021-08-22,2021-08-22,7時至22時,曾先生,7850970,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
吳保宮,2021-08-22,2021-08-22,7時至22時,李先生,7863961,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
東興宮,2021-08-22,2021-08-22,7時至22時,吳先生,7862034,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
文衡殿,2021-08-22,2021-08-22,7時至22時,許先生,7850080,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
慈隆宮,2021-08-22,2021-08-22,7時至22時,朱先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
西保宮,2021-08-22,2021-08-22,7時至22時,張先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
福安宮,2021-08-23,2021-08-23,7時至22時,陳先生,7862025,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
東隆宮,2021-08-09,2021-08-09,7時至22時,侯先生,7850135,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7791072
