point,dateBegin,dateEnd,time,contact,phone,event,url
佛心三安宮,2020-06-26,2020-06-26,13時至22時,黃小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7683756
謝府二元帥,2022-01-01,2022-01-01,13時至22時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7863584
福安宮,2021-04-30,2021-04-30,6時至10時,林先生,6852317,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
湄洲宮,2021-05-02,2021-05-02,7時30分至17時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7760769
顯濟宮,2021-04-24,2021-04-24,8時至11時,李先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
全安宮,2021-04-11,2021-04-11,6時36分至18時,盧先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
六合社,2021-04-11,2021-04-11,13時至20時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
觀音廟,2021-03-28,2021-03-28,4時至20時,賴小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
