point,dateBegin,dateEnd,time,contact,phone,event,url
聖隆宮,2020-12-27,2020-12-27,12時至22時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
管寮聖安宮,2021-01-01,2021-01-03,7時至22時,郭小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
北玄宮,2020-07-11,2020-07-11,2時至23時,楊先生,5923370,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
北玄宮,2021-08-21,2021-08-21,14時至17時,楊先生,5923370,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
南安宮,2020-08-01,2020-08-01,3時至22時,王先生,5923884,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
南安宮,2021-08-22,2021-08-22,12時至17時,王先生,5923884,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
安定保安宮,2020-08-01,2020-08-01,5時至16時,丁先生,5923743,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
安定保安宮,2020-10-25,2020-10-25,7時至22時,丁先生,5923743,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
安定保安宮,2021-02-07,2021-02-07,12時至18時,丁先生,5932571,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7744596
天宏鎮靈宮,2020-08-08,2020-08-08,16時至21時,胡小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
崑崙宮,2020-10-18,2020-10-18,8時至18時,余小姐,5976037,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
崑崙宮,2020-10-22,2020-10-22,17時至22時,余小姐,5976037,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
崑崙宮,2021-08-22,2021-08-22,13時至17時,余小姐,5976037,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
乾元宮,2020-10-23,2020-10-24,整日,王先生,5923023,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
乾元宮,2021-08-21,2021-08-21,15時至17時,王先生,5932958,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
聖安宮,2020-10-25,2020-10-25,6時至21時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
聖安宮,2021-08-29,2021-08-29,12時至17時,吳先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7795195
蘇厝第一代天府真護宮,2021-01-24,2021-01-24,9時至12時,陳先生,522335,王船開光點眼儀式,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7741987
蘇厝第一代天府真護宮,2021-02-11,2021-02-13,9時至17時,陳先生,522335,發財金擲杯活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
蘇厝第一代天府真護宮,2021-03-20,2021-03-21,6時至24時,陳先生,5922335,辛丑科五朝王醮南瀛王船祭文化節(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7752351
蘇厝第一代天府真護宮,2021-03-26,2021-03-26,19時30分至22時,陳先生,5922335,王船盃歌唱比賽,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
蘇厝第一代天府真護宮,2021-03-27,2021-03-27,19時30分至22時,陳先生,5922335,王船祭歌影星感恩之夜,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
蘇厝第一代天府真護宮,2021-03-28,2021-03-28,6時至12時,陳先生,5922335,恭送王船,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
蘇厝第一代天府真護宮,2021-08-21,2021-08-21,19時至23時,陳先生,5922335,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
李家濟公禪師,2021-01-16,2021-01-17,8時至23時,李先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
長興宮,2021-02-06,2021-02-06,7時至7時30分,詹先生,5922450,王船開光點眼,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7744596
長興宮,2021-04-30,2021-05-01,30日22時至1日23時,陳小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
長興宮,2021-08-21,2021-08-21,18時至23時,詹先生,5922450,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
玉聖宮天公廟,2021-02-20,2021-02-20,13時至21時,林先生,5937039,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
湄婆宮,2021-08-21,2021-08-21,13時至16時,黃先生,5923264,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
靜安宮,2021-08-21,2021-08-21,14時至17時,楊先生,5976869,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
保安宮,2021-08-21,2021-08-21,16時至23時,丁先生,5923743,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
慈安宮,2021-04-25,2021-04-25,5時至24時,黃先生,5932571,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
慈安宮,2021-08-22,2021-08-22,15時至24時,黃先生,5932571,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
順天宮,2021-08-22,2021-08-22,13時至16時,翁先生,5937201,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
