point,dateBegin,dateEnd,time,contact,phone,event,url
玉井北極殿,2020-12-26,2020-12-27,23時至1時,王先生,5745344,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
玉井北極殿,2021-05-15,2021-05-15,16時至17時,王先生,5743788,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
玉井北極殿,2021-05-16,2021-05-16,7時至8時,王先生,5743788,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
新天宮,2021-05-01,2021-05-01,13時至17時,標先生,5743145,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7760769
新天宮,2021-12-18,2021-12-18,11時至14時,標先生,5744315,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
開天宮,2021-11-21,2021-11-21,12時至14時,東先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7843940
新天王殿,2021-11-21,2021-11-25,9時至21時,李先生,5745107,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7843940
媽祖廟,2021-05-02,2021-05-02,6時30分至11時,張先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7760769
