point,dateBegin,dateEnd,time,contact,phone,event,url
唪口福順宮,2020-12-26,2020-12-26,6時至24時,蔡先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
太子宮,2020-10-18,2020-10-18,12時至22時,李先生,5987523,遶境,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
太子宮,2020-10-24,2020-10-24,10時至22時,李先生,5987523,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
知義天后宮,2021-05-01,2021-05-01,7時至18時,吳先生,,遶境(知義里轄區：新化外環道知義段、復興路),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7760769
