point,dateBegin,dateEnd,time,contact,phone,event,url
保安宮,2021-04-24,2021-04-24,11時至18時,陳先生,7212124,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
永安宮,2021-05-08,2021-05-08,7時至12時,姚先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7762329
南聖宮,2021-05-09,2021-05-09,7時至17時,許先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7762329
玉勅慈聖宮,2021-02-12,2021-02-13,7時至17時,林先生,7224851,七星平安橋改運活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
潮州震雷宮,2021-04-24,2021-04-24,7時至14時,許先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
寶興宮,2021-04-24,2021-04-24,7時至21時,蘇先生,7263169,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
保興宮,2021-04-25,2021-04-25,7時至20時,黃先生,7264649,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
佛天宮,2021-04-14,2021-04-14,7時至20時,謝先生,7228598,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
寧安宮,2021-03-27,2021-03-27,7時至20時,謝先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
第十角雷安宮,2021-03-06,2021-03-08,7時至20時,陳先生,7234705,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7749566
