point,dateBegin,dateEnd,time,contact,phone,event,url
陳家玄天上帝,2020-07-25,2020-07-25,10時至12時,阮小姐,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
龍德慈惠堂,2020-11-07,2020-11-07,14時至15時,陳先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7726460
基隆御聖宮,2021-12-18,2021-12-18,15時至16時,蔡先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
御聖宮,2021-05-22,2021-05-22,15時至16時,蘇先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
