point,dateBegin,dateEnd,time,contact,phone,event,url
天行宮,2021-01-12,2021-01-12,14時至21時,胡先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7738749
朱府千歲宮,2020-08-08,2020-08-08,8時至17時,楊先生,,遶境(大內里、石城里、石湖里),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
保安宮,2021-04-24,2021-04-24,14時至22時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
石子瀨北天宮,2021-04-10,2021-04-10,7時至19時,曾先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7754933
震玄宮,2021-04-11,2021-04-11,13時至17時,郭先生,,遶境(大內區石湖、石林、石城里里內道路),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7754933
