point,dateBegin,dateEnd,time,contact,phone,event,url
五塊寮慶和宮,2020-12-12,2020-12-12,6時至22時,曾先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
鎮南王府,2020-12-27,2020-12-27,6時至22時,黃先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
清慈宮,2021-01-09,2021-01-09,6時30分至22時,張先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7738749
臺南雷衡殿,2020-07-19,2020-07-19,6時至22時,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
鍾家關聖帝君,2020-08-08,2020-08-08,16時至21時,鍾小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
清峰宮,2020-11-02,2020-11-02,6時至24時,郭先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
千歲宮,2020-10-24,2020-10-24,14時至16時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
天台五公寺濟世宮,2021-12-19,2021-12-19,7時至22時,詹先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
何家天上聖母,2021-01-31,2021-01-31,8時30分至15時,王小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7741987
正統鹿耳門聖母廟,2021-04-30,2021-05-03,4/30日6時至5/3日6時,王先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
朝皇宮,2021-04-23,2021-04-24,23日7時至24日12時,郭先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
鹿耳門天后宮,2021-04-09,2021-04-11,5時至24時,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
公塭萬安宮,2021-04-10,2021-04-10,5時至22時,蔡先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7754933
陳家保安廣澤尊王,2021-03-28,2021-03-28,7時至22時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
