point,dateBegin,dateEnd,time,contact,phone,event,url
林家廣澤尊王,2020-12-12,2020-12-12,6時至20時,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
福安宮,2020-12-13,2020-12-13,7時至18時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
普安宮,2020-12-20,2020-12-20,10時至23時,陳先生,5815829,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7734649
丁家池府千歲,2020-08-01,2020-08-01,6時至20時,丁先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
慶善宮,2020-11-28,2020-11-29,4時至24時,張先生,5817547,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7728934
慶安宮,2020-11-28,2020-11-29,4時至24時,張先生,5817547,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
玉太堂,2020-06-20,2020-06-20,7時至22時,李先生,&nbsp;,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7680235
牛庄元興堂,2020-10-18,2020-10-18,5時至22時,蘇先生,5830163,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
蘇家沙聖社,2021-01-24,2021-01-24,5時至20時,蘇先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
三代祖師廟,2021-01-17,2021-01-17,5時至18時30分,黃先生,5837722,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
拯民宮,2021-02-21,2021-02-21,3時至23時,蘇先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
慈天宮,2021-04-30,2021-04-30,14時30分至22時30分,蔡先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
胡厝寮代天府,2021-03-21,2021-03-21,2時至22時,胡先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7752351
陳姓宗親會開漳聖王,2021-03-28,2021-03-28,7時至15時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
