point,dateBegin,dateEnd,time,contact,phone,event,url
千佛山菩提寺,2020-08-28,2020-08-30,8時至20時,陳小姐,5958106,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
千佛山菩提寺,2020-12-06,2020-12-06,9時至11時,陳小姐,5958106,大悲懺共修法會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
千佛山菩提寺,2020-12-08,2020-12-08,9時30分至11時,陳小姐,5958106,彌陀法會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
千佛山菩提寺,2020-12-12,2020-12-12,9時至11時30分,陳小姐,5958106,冬令慰問,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
池府二王爺,2020-07-25,2020-07-25,16時至22時,李先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
私壇(關廟里),2020-08-28,2020-08-29,5時至24時,薛先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
私壇(新埔里),2020-08-29,2020-08-30,12時至21時,吳先生,&nbsp;,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
深坑山西宮,2020-08-30,2020-08-30,14時至18時,林先生,5954664,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
財團法人無極混元玄樞院,2020-09-02,2020-09-02,9時至22時,吳先生,5953787,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
財團法人無極混元玄樞院,2020-09-03,2020-09-06,9時至22時,吳先生,5953788,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
埤頭關帝廟,2020-09-05,2020-09-05,14時至18時,許先生,5964719,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
西台慈惠堂,2020-09-05,2020-09-05,9時至18時,黃小姐,5952478,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
山西宮,2020-09-05,2020-09-05,8時至20時,歐先生,5952135,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
無極汗武宮,2020-08-15,2020-08-15,18時30分至22時,顏先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7702467
佛祖壇,2020-10-24,2020-10-24,5時至24時,吳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
私壇(中正路),2020-10-24,2020-10-25,12時至22時,劉小姐,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
