point,dateBegin,dateEnd,time,contact,phone,event,url
牛埔清水寺,2021-01-02,2021-01-02,1時至15時,陳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
牛埔清水寺,2021-12-19,2021-12-19,9時至19時,陳先生,5947109,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
天元宮,2020-10-30,2020-10-30,12時至14時30分,金先生,5940029,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
清水宮,2021-02-17,2021-02-17,10時至15時,蔡先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
林天宮,2021-05-02,2021-05-02,10時至21時,鄭先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7760769
真武殿,2021-04-10,2021-04-10,7時至14時,李先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
大溪清水宮,2021-10-10,2021-10-10,10時至16時,蔡先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
龍安寺,2021-03-21,2021-03-21,6時至12時,鄭先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7752351
&nbsp;中坑五公佛祖,2021-03-31,2021-03-31,8時至14時,黃先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
