point,dateBegin,dateEnd,time,contact,phone,event,url
西來庵甘本堂,2020-12-05,2020-12-05,13時至21時,曾先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
油行尾福德爺廟,2020-12-13,2020-12-13,6時至24時,張先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
正德堂,2020-12-19,2020-12-19,整日,吳先生,,建醮植福(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7734649
正德堂,2021-01-10,2021-01-10,7時至21時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7738749
水仙宮,2020-12-12,2020-12-12,整日,郭先生,2203019,建醮普渡植福,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
水仙宮,2021-01-01,2021-01-01,5時至24時,沈先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
下合源正義堂,2020-07-26,2020-07-26,7時至22時,張先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
福德爺廟,2020-11-27,2020-11-29,27日22時至29日4時,葉先生,2250943,普渡大典(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
普濟殿,2020-10-24,2020-10-24,12時至22時,洪先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
聖賢壇,2020-10-25,2020-10-25,7時至17時,黃先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
八吉境五帝廟,2021-01-17,2021-01-17,6時至24時,郭先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
八吉境五帝廟,2021-11-02,2021-11-02,整日,曾先生,2644214,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7825097
永華宮,2021-11-13,2021-11-14,13日22時至14日24時,楊先生,2242319,普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7840523
南廠萬靈祠,2021-08-17,2021-08-17,8時至22時,陳小姐,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7792639
玄良亭,2021-08-18,2021-08-19,12時至24時,陳先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7792639
福德祠,2021-08-21,2021-08-22,18時至24時,王先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
良皇宮,2021-08-26,2021-08-27,12時至24時,張先生,2243172,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
廣安宮,2021-08-27,2021-08-27,8時至22時,葉先生,2266315,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
聖慈宮,2021-08-27,2021-08-27,7時至21時,孫小姐,3587625,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7795195
神興宮,2021-08-28,2021-08-28,7時至22時,侯先生,2237543,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7795195
神興宮,2021-09-29,2021-09-29,11時至17時,侯先生,2237534,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7799948
新南宮,2021-08-28,2021-08-29,12時至24時,吳先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
媽祖樓天后宮,2021-04-25,2021-04-25,19時至21時30分,蕭先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
媽祖樓天后宮,2021-08-29,2021-08-29,8時至22時,蘇先生,2206949,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7795195
濟福宮,2021-08-29,2021-08-29,8時至23時,郭先生,2285784,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7795195
南廠范王府,2021-08-29,2021-08-29,6時至21時,蔡先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
保西宮,2021-08-30,2021-08-31,20時至22時,邱先生,2287946,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
興尊宮,2021-08-31,2021-08-31,7時至23時,戴先生,2207154,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
興尊宮,2021-09-30,2021-09-30,7時至23時,戴先生,2207154,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7801165
忠澤堂,2021-09-01,2021-09-01,6時至24時,陳先生,2263607,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7795195
聚宋宮,2021-09-03,2021-09-04,"9/3 22時至9/4 24時",高先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7796787
聚宋宮,2021-09-04,2021-09-04,18時至21時,吳先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7795195
玉旨西湖濟佛宮,2021-08-21,2021-08-22,8時至22時,郭先生,2800376,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
聚福宮,2021-08-22,2021-08-22,10時至20時,蔡先生,2230916,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
神佛壇,2021-08-23,2021-08-23,7時至24時,龔先生,2201481,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
北極殿,2021-08-24,2021-08-25,12時至24時,黃先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
保安宮,2021-08-25,2021-08-25,8時至22時,陳余小姐,2286967,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
天池壇,2021-08-25,2021-08-25,10時至19時,陳先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
天池壇,2021-09-30,2021-10-03,8時至24時,黃先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7802775
尊王公壇,2021-08-25,2021-08-25,整日,陳先生,2113337,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
尊王公壇,2021-10-03,2021-10-05,12時至24時,陳先生,2113337,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7802775
大埔福德祠,2021-09-20,2021-09-21,18時至18時,王先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7799948
西羅殿,2021-09-18,2021-09-19,整日,王先生,2285354,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7799948
西羅殿,2021-09-25,2021-09-28,整日,王先生,2285354,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7799948
聖王公館,2021-09-26,2021-09-26,10時至22時,陳先生,2501316,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7799948
守義堂,2021-09-26,2021-09-26,8時至18時,薛先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7801165
檺林宮共善堂,2021-09-29,2021-09-29,6時至22時,陳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7801165
東嶽殿,2021-09-04,2021-09-04,6時至20時,蘇先生,2202322,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7796787
南邑保安宮,2021-09-05,2021-09-05,8時至17時,廖先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7796787
玄明保安宮,2021-09-08,2021-09-08,7時至21時,廖先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7796787
南廠臨安壇,2021-09-20,2021-09-21,18時至24時,陳先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7799948
和勝堂,2021-10-03,2021-10-03,12時至23時,杜先生,2259329,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7802775
有應廣眾祠,2021-10-03,2021-10-03,12時至23時,傅先生,,普度活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7802775
厲王宮,2021-10-10,2021-10-10,11時至18時,陳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
玉泉寺武聖殿,2021-10-11,2021-10-11,7時至18時,吳先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
小南城隍廟,2021-10-09,2021-10-10,15時至22時,吳小姐,2145470,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
保玉宮,2021-10-10,2021-10-11,18時至22時,黃先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
武英殿,2021-10-19,2021-10-20,8時至24時,楊先生,2267202,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
