point,dateBegin,dateEnd,time,contact,phone,event,url
姜家玄天上帝,2022-01-22,2022-01-22,9時至10時,姜先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7865341
中營慶福宮,2020-10-22,2020-10-22,12時30分至14時30分,高先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
下營上帝廟,2021-08-21,2021-08-22,8時至22時,洪先生,6892362,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
茅港尾天后宮,2021-04-10,2021-04-11,5時至22時,馮先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7754933
