point,dateBegin,dateEnd,time,contact,phone,event,url
三舍保濟殿,2020-12-27,2020-12-27,6時至14時,謝先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
建安宮,2020-12-12,2020-12-12,15時至24時,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
王家私壇,2020-08-02,2020-08-02,15時至17時,王先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
社內清水宮,2020-10-24,2020-10-24,14時至20時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
榮安宮,2021-11-13,2021-11-13,8時至11時,林先生,5972131,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7840523
鎮興壇,2021-05-01,2021-05-01,11時30分至14時,李小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7760769
燉煌亭,2021-04-10,2021-04-10,10時至21時,洪先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7754933
方家觀音佛祖,2021-03-27,2021-03-27,7時至17時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
東勢北極殿,2021-03-28,2021-03-28,18時至21時,張先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
