point,dateBegin,dateEnd,time,contact,phone,event,url
柳營代天院,2021-08-21,2021-08-21,13時至16時,盧先生,6220314,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
東安宮,2021-04-25,2021-04-25,8時至21時,廖先生,6225596,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
東安宮,2021-08-21,2021-08-21,13時至16時,廖先生,6225596,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
中壇府,2021-08-21,2021-08-21,13時至16時,吳先生,6225230,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
雲霄太子殿,2021-08-21,2021-08-21,12時至14時,陳先生,6223719,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
橋南太歲宮,2021-08-25,2021-08-25,10時至18時,陳先生,6223462,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
橋南太歲宮,2021-09-21,2021-09-24,10時至21時,陳先生,6223462,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7799948
孝儀媽,2021-04-19,2021-04-19,7時至22時,何小姐,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
