point,dateBegin,dateEnd,time,contact,phone,event,url
頂窩永威靈殿,2020-08-07,2020-08-07,6時至14時,吳先生,6330763,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
武安宮,2020-10-31,2020-10-31,6時至20時,蘇先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
武安宮,2021-03-28,2021-03-28,12時至20時,張先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
碧軒寺,2021-02-04,2021-02-04,6時至13時,陳先生,6801009,碧軒寺迎佛祖暨遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7743587
碧軒寺,2021-02-21,2021-02-21,1時至12時,陳先生,6801009,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7746418
北天宮,2021-05-01,2021-05-01,7時至16時,李先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
