point,dateBegin,dateEnd,time,contact,phone,event,url
武西壇,2020-11-07,2020-11-07,14時至15時,林先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7726460
太子宮,2020-08-16,2020-08-16,10時至12時,林先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7702467
田尾龍州宮,2021-12-12,2021-12-12,13時30分至14時,林小姐,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7851382
定興廣興宮,2021-05-16,2021-05-16,11時至12時,謝先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
聖玄宮,2021-04-11,2021-04-11,9時至10時,胡先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
