point,dateBegin,dateEnd,time,contact,phone,event,url
聖姑廟,2022-01-10,2022-01-11,7時至22時,李先生,6983285,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7865341
龍鳳寺,2020-06-28,2020-06-28,8時至21時,陳小姐,6982249,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7682199
龍湖宮,2020-10-22,2020-10-22,9時至21時,蔡先生,6985036,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
保安宮,2020-10-23,2020-10-25,7時至22時,蕭先生,6984160,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
保安宮,2021-10-10,2021-10-14,7時至22時,蕭先生,6984160,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
鎮南宮,2020-10-17,2020-10-25,7時至22時,張先生,6982464,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
鎮南宮,2021-08-29,2021-08-29,13時至17時,張先生,6982464,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
鎮南宮,2021-10-06,2021-10-14,7時至22時,張先生,6982464,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
七甲龍湖代天府,2021-12-17,2021-12-19,7時至22時,黃先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
五甲龍鳳寺,2021-08-21,2021-08-21,13時至17時,湯先生,6985011,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
五甲龍鳳寺,2021-12-17,2021-12-18,7時至22時,湯先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
六甲保安宮,2021-08-21,2021-08-21,13時至17時,蕭先生,6984160,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
六甲媽祖廟,2021-04-01,2021-04-05,10時至21時,沈先生,6980059,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7754933
六甲媽祖廟,2021-08-22,2021-08-22,13時至17時,沈先生,6980059,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
赤山龍潭寺,2021-08-24,2021-08-25,8時至17時,廖小姐,6982243,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
二甲玄武殿,2021-04-14,2021-04-14,8時至16時,周先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7754933
北極殿,2021-04-14,2021-04-14,8時至16時,顏先生,6991980,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7754933
赤山龍湖巖,2021-09-03,2021-09-05,8時至17時,吳小姐,6982205,盂蘭盆法會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7796787
忠澤堂,2021-09-06,2021-09-06,13時至17時,黃先生,6984721,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7796787
十八王公府,2021-09-06,2021-09-06,13時至17時,陳先生,6985718,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7796787
