point,dateBegin,dateEnd,time,contact,phone,event,url
五方五聖宮,2020-12-05,2020-12-05,14時30分至15時30分,涂先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
聖雲殿,2020-12-12,2020-12-12,17時至18時,賴小姐,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
御賜玉元宮,2020-07-11,2020-07-11,11時至13時,康先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
龍潭慈玄宮,2021-12-11,2021-12-11,9時30分至11時,王小姐,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7851382
慈濟堂,2021-05-15,2021-05-15,18時至19時,曾先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
