point,dateBegin,dateEnd,time,contact,phone,event,url
廣護宮,2020-12-25,2020-12-25,10時至19時30分,黃小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
廣護宮,2021-01-01,2021-01-02,3時30分至22時,黃小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
廣護宮,2021-08-29,2021-08-29,13時至17時,楊先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
聖海宮,2021-01-02,2021-01-02,4時至24時,黃先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
二王廟,2020-05-30,2020-05-30,19時至21時,陳先生,2333215,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7673107
靖妙宮,2020-06-27,2020-06-27,整日,陳小姐,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7682199
靖妙宮,2020-07-05,2020-07-05,整日,陳小姐,,參加佳里邱家遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7683756
玄道宮,2020-07-06,2020-07-06,整日,謝先生,2541222,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7683756
南極殿,2020-07-09,2020-07-10,整日,王先生,2530026,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7683756
南天宮,2020-07-18,2020-07-18,15時至18時,黃先生,2536936,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
玉旨關福堂,2020-07-19,2020-07-19,5時至23時,王先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
聚保堂,2020-07-19,2020-07-19,,陳先生,3021009,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
聖佛宮,2020-07-25,2020-07-25,整日,陳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
保生宮,2020-07-26,2020-07-26,6時至23時,林先生,2035854,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
保生宮,2021-08-28,2021-08-28,13時至17時,林先生,,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
評周公廟,2020-07-31,2020-07-31,整日,陳先生,2713601,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
府城關盛會,2020-08-02,2020-08-02,5時至23時,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
慈蓮宮,2020-08-02,2020-08-02,14時至22時,童先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
五聖壇,2020-11-23,2020-11-23,整日,葉先生,2323225,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7728934
三老爺宮,2020-11-24,2020-11-24,整日,陳先生,2535047,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7728934
