point,dateBegin,dateEnd,time,contact,phone,event,url
中和建德壇,2022-01-15,2022-01-16,15日10時至16日12時,邵先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7865341
忠義堂,2020-12-05,2020-12-05,12時至13時,周先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
何家玄天上帝,2020-12-05,2020-12-05,15時至16時,何先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
天聖宮,2020-07-04,2020-07-04,9時至10時,張先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7684930
天聖宮,2021-02-21,2021-02-21,11時至12時,林先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
天聖宮,2021-04-18,2021-04-18,11時至12時,林先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
池安宮,2020-06-27,2020-06-27,9時至10時,王先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7682199
玄元寶進宮,2020-06-20,2020-06-20,10時至12時,陳先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7680235
瑤池金母,2020-06-13,2020-06-13,14時至15時,李先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7678453
北巡敬玄會,2021-01-16,2021-01-16,16時至17時,黃小姐,,至下營上帝廟參拜,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
沙崙潤德宮,2021-05-08,2021-05-08,14時至15時,黃先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7762329
陳家玄天上帝,2021-02-20,2021-02-20,11時至12時,陳先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
北玄宮,2021-02-28,2021-02-28,11時至12時,許先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7748249
聖玄殿,2021-02-28,2021-02-28,16時至17時,林小姐,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7748249
太清宮,2021-04-17,2021-04-17,14時至15時,邱先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
無極昊天宮,2021-03-13,2021-03-13,13時至13時30分,黃先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7749566
玄元太清五旗宮,2021-03-20,2021-03-20,13時30分至14時,陳先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7752351
