point,dateBegin,dateEnd,time,contact,phone,event,url
天元靈母宮,2020-07-21,2020-07-29,13時至21時,莊小姐,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
天元靈母宮,2020-12-05,2020-12-06,13時至21時,莊小姐,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
祐王宮,2020-12-09,2020-12-09,10時至22時,楊先生,7946357,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
慶善宮,2020-09-02,2020-09-02,14時至22時,黃先生,7893978,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
慶善宮,2020-10-22,2020-10-23,14時至22時,黃先生,7893978,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
慶善宮,2020-11-21,2020-11-22,14時至22時,黃先生,7893978,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7728934
慶善宮,2020-12-18,2020-12-19,14時至22時,黃先生,7893978,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
慶善宮,2021-04-30,2021-05-01,14時至22時,黃先生,7893978,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
慶善宮,2021-08-22,2021-08-22,14時至18時,黃先生,7893978,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
慶善宮,2021-10-11,2021-10-12,14時至22時,黃先生,7893978,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
慶善宮,2021-11-11,2021-11-12,14時至22時,黃先生,7893978,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7825097
慶善宮,2021-12-07,2021-12-08,整日,黃先生,7893978,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7845271
佛龍宮,2020-10-31,2020-10-31,8時至22時,黃先生,7872414,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
佛龍宮,2020-12-29,2020-12-30,7時至22時,黃先生,7872414,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
佛龍宮,2021-12-18,2021-12-19,整日,黃先生,7872414,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
玉勅寶安宮,2020-07-03,2020-07-05,7時至22時,黃先生,7891009,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7683756
玉勅寶安宮,2020-09-02,2020-09-02,8時至18時,黃先生,7891009,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
唐安宮,2020-08-01,2020-08-02,7時至17時,杜先生,7945379,遶境(港西里),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
唐安宮,2021-12-11,2021-12-12,整日,杜先生,7945379,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7851382
西興宮,2020-08-07,2020-08-07,7時至17時,陳先生,7800270,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
西興宮,2021-05-27,2021-05-27,7時至17時,陳先生,7800270,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
龍山宮,2020-08-07,2020-08-07,7時至22時,蔡先生,7871058,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
