point,dateBegin,dateEnd,time,contact,phone,event,url
太子普安宫,2020-10-17,2020-10-17,8時至20時,李先生,2601741,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
虎尾寮二路元帥,2021-12-19,2021-12-19,6時至18時,李先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
後甲開基真武殿,2022-01-02,2022-01-02,8時至22時,林先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7863584
無極旭仁殿,2021-01-24,2021-01-24,9時至12時,閻先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
竹篙厝上帝廟,2021-04-05,2021-04-12,18時至20時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
太子普安宮,2021-10-13,2021-10-21,整日,李先生,2601741,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7805503
