point,dateBegin,dateEnd,time,contact,phone,event,url
沈家金龍太子,2020-12-13,2020-12-13,14時至22時,沈先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
慈靈宮,2020-11-21,2020-11-21,12時至22時,葉先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7728934
順天府,2021-05-15,2021-05-15,10時至22時,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
郭家玄天上帝,2021-04-10,2021-04-10,17時至22時,郭先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
大將公廟,2021-04-10,2021-04-10,17時至22時,許先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
大將公廟,2021-04-11,2021-04-11,6時至22時,許先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
