point,dateBegin,dateEnd,time,contact,phone,event,url
普聖宮,2020-08-09,2020-08-09,9時40分至10時40分,吳先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
沙鹿鎮海府,2022-01-01,2022-01-01,12時至13時,楊先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7863584
十九甲福德宮,2021-04-24,2021-04-24,10時至10時30分,施先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
濟封寺,2021-03-07,2021-03-07,14時30分至15時,卓先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7749566
