point,dateBegin,dateEnd,time,contact,phone,event,url
萬福宮,2021-01-01,2021-01-01,5時至21時,陳先生,07-6903521,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
玄德宮,2020-11-29,2020-11-29,9時至9時30分,蘇小姐,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
北雲殿,2020-08-16,2020-08-16,9時至10時,馮先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7702467
三民北極元玄殿,2022-01-01,2022-01-01,14時至15時,簡先生,,至下營上帝廟參訪,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7863584
白砂崙萬福宮,2021-01-10,2021-01-10,7時至16時30分,葉先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7738749
龍目井山頂北極殿,2021-01-18,2021-01-18,10時30分至11時30分,謝先生,,至下營上帝廟參拜,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
